"","VALUE","COUNT","CLASSNAMES","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"184",255,2,"Shrub Cover = 55%",0.444789293427497,0.18,0.000499211246230955,0.741176,0.376471,0.27451,"189","96","70"
"185",311,2,"Herb Cover = 11%",0.444789293427497,0.18,0.000499211246230955,1,0.8,0.4,"255","204","102"
"186",116,1,"Tree Cover = 16%",0.222394646713748,0.09,0.000249605623115478,0.717647,0.941176,0.52549,"183","240","134"
"187",118,1,"Tree Cover = 18%",0.222394646713748,0.09,0.000249605623115478,0.698039,0.921569,0.505882,"178","235","129"
"188",121,1,"Tree Cover = 21%",0.222394646713748,0.09,0.000249605623115478,0.666667,0.901961,0.478431,"170","230","122"
"189",220,1,"Shrub Cover = 20%",0.222394646713748,0.09,0.000249605623115478,0.811765,0.623529,0.439216,"207","159","112"
"190",221,1,"Shrub Cover = 21%",0.222394646713748,0.09,0.000249605623115478,0.811765,0.611765,0.427451,"207","156","109"
"191",225,1,"Shrub Cover = 25%",0.222394646713748,0.09,0.000249605623115478,0.811765,0.592157,0.411765,"207","151","105"
"192",245,1,"Shrub Cover = 45%",0.222394646713748,0.09,0.000249605623115478,0.768627,0.45098,0.321569,"196","115","82"
"193",251,1,"Shrub Cover = 51%",0.222394646713748,0.09,0.000249605623115478,0.74902,0.4,0.294118,"191","102","75"
"194",252,1,"Shrub Cover = 52%",0.222394646713748,0.09,0.000249605623115478,0.74902,0.4,0.294118,"191","102","75"
"195",254,1,"Shrub Cover = 54%",0.222394646713748,0.09,0.000249605623115478,0.741176,0.380392,0.282353,"189","97","72"
"196",260,1,"Shrub Cover = 60%",0.222394646713748,0.09,0.000249605623115478,0.729412,0.341176,0.254902,"186","87","65"
"197",262,1,"Shrub Cover = 62%",0.222394646713748,0.09,0.000249605623115478,0.729412,0.329412,0.247059,"186","84","63"
"198",264,1,"Shrub Cover = 64%",0.222394646713748,0.09,0.000249605623115478,0.721569,0.317647,0.243137,"184","81","62"
"199",265,1,"Shrub Cover = 65%",0.222394646713748,0.09,0.000249605623115478,0.721569,0.309804,0.239216,"184","79","61"
